# macOS 14.6
AppleFileSystemDriver	30
AppleRAID	26
AvailabilityVersions	141.1
BerkeleyDB	28
BootCache	160
CPAN	99
Chess	514.1
CommonCrypto	600028.100.1
CrackLib	37765
DiskArbitration	438.140.4
Heimdal	689.140.1
ICU	74000.403
IOATAFamily	261
IOATAPIProtocolTransport	353
IOAudioFamily	540.3
IOBDStorageFamily	22
IOCDStorageFamily	61
IODVDStorageFamily	45
IOFireWireAVC	431
IOFireWireFamily	487
IOFireWireSBP2	445
IOFireWireSerialBusProtocolTransport	260
IOGraphics	598
IOHIDFamily	2031.120.4
IOKitTools	124
IOKitUser	100076.120.9
IONetworkingFamily	177
IOPCIFamily	617.100.7
IOSCSIParallelFamily	339
IOStorageFamily	315
KerberosHelper	163.0.1
Libc	1592.100.35
Libinfo	583.0.1
Libnotify	317.120.2
Librpcsvc	31
Libsystem	1345.120.2
Liby	20
MITKerberosShim	82.100.3
NFS	285.140.2
OpenAL	70
OpenLDAP	556
OpenPAM	33
OpenSSH	328.141.1
OpenSSL098	84.120.1
PowerManagement	1630.120.8
RubyGems	36
SMBClient	438.140.2
Security	61123.140.15
SecurityTokend	55113
SmartcardCCID	55033
TimeZoneData	103
UserNotification	31
WebKit	7618.3.11.11.5
adv_cmds	216.100.1
apache	871.140.1
apache_mod_hfs_apple	16
apache_mod_perl	114.100.1
apr	46
architecture	282
autofs	312.100.2
awk	38
bash	135.120.1
basic_cmds	67.100.1
bc	27
bind9	61.100.2
bless	298.140.3
bootp	455.100.4
bootstrap_cmds	133.140.1
bzip2	45
cddafs	268
configd	1300.120.2
copyfile	196.120.5
cron	45.120.1
crontabs	64.60.1
cups	509.2
curl	158
dcerpc	92
diskdev_cmds	718.140.2
disklabel	7
doc_cmds	66
dtrace	401.100.3
dyld	1165.3
eap8021x	354.100.3
expat	35
file	96.100.2
file_cmds	430.140.2
files	926.120.2
gpt	24
gssd	85
hfs	650.140.2
hunspell	15
iodbc	42.6
ipsec	1125
kext_tools	745
keymgr	31
ksh	36
less	44
libarchive	131.140.2
libclosure	90
libdispatch	1477.100.9
libedit	62
libevent	9
libffi	32
libfs	32
libiconv	102
libmalloc	521.120.7
libmd	7
libpcap	131
libplatform	316.100.10
libpthread	519.120.4
libresolv	79
libsecurity_ldap_dl	55005.0.2
libutil	72
libxml2	37.18
libxslt	20.3
llvmCore	3425.0.36
lsof	73
mDNSResponder	2200.140.11
mail_cmds	38.0.1
man	57.120.2
misc_cmds	44
modemccl	31
msdosfs	608.120.4
ncurses	71.100.2
net_snmp	179.0.1
netcat	55
network_cmds	671.120.2
ntfs	155.100.1
objc4	912.7
pam_modules	212
passwordserver_sasl	214
patch_cmds	61
pcre	12.100.1
pdisk	9
perl	157.120.2
postfix	1634.100.1
ppp	1016
pyobjc	63
python	182
python_modules	82
remote_cmds	303.141.1
removefile	70.100.4
rsync	62
ruby	164.100.4
screen	29
security_authtrampoline	55106
security_certificates	55297.140.2
security_certtool	55120
security_crlrefresh	55102
security_ocspd	55147
security_systemkeychain	55213
shell_cmds	309.120.3
sudo	106.140.1
swig	13
syslog	398
system_cmds	979.120.4
system_config	56
tcl	140.120.2
tcpdump	137
tcsh	70
text_cmds	165.100.8
tidy	19.2
top	137.100.2
usertemplate	109
uucp	21
vim	157
webdavfs	398
xar	498
xnu	10063.141.1
zip	22
zlib	91.40.4
zsh	100.120.1
